id,CAGE-Code,GP-Nummer,Kreditor-Nr,Name 1
115,C0266,1000053150,0002100520,Acument GmbH & Co. OHG
116,80753,1000051330,0002076280,Acutek Inc
117,7CFA1,1000055768,0002159670,ADAFRUIT INDUSTRIES LLC
118,11359,1000051317,0002076297,Adage Inc.
119,CH513,1000049786,0002059731,Adam Hall GmbH
120,A0885,1000055812,0002154943,Adam Pumps s.p.a.
121,U3152,1000053429,0002107188,Adams Aviation Supply Co Ltd
122,80477,1000048997,0002049773,Adams Rite Aero Space Inc
123,1AH77,1000058092,0002196638,Adams-Russell Co Inc
124,0ART9,1000053474,0002102219,Adaptec
125,SPD29,1000059025,0002188533,"ADATA Technology Co., Ltd."
126,DG830,1000050686,0002071594,ADB Safegate Germany GmbH
127,3C1Y9,1000053856,0002123498,Addonics Technologies Inc
128,Q3447,1000057658,0002172116,ADDVALUE TECHNOLOGIES LTD
129,C7191,1000051382,0002069389,Adelco Elektronik GmbH
130,D8859,1000048797,0002048501,Adels-Contact GmbH & Co. KG
131,F1677,1000050524,0002068441,Ades Technologies
132,F7837,1000050427,0002060676,ADHETEC
133,F8881,1000055976,0002158960,Adi Kalfa
134,D3037,1000049712,0002061639,ADITEC GmbH
135,S8896,1000050797,0002071348,Aditech AB
136,1VA57,1000052219,0002077487,Adlink Technology America Inc.
137,C0812,1000056404,0002174003,Adolf Würth GmbH & Co. KG
138,DN920,1000057775,0002184979,ADR AG
139,F0234,1000048043,0002037623,ADR SA
140,82686,1000052510,0002081119,ADS / Transicoil Corp.
141,1CAY9,1000053997,0002123870,ADS Inc
142,61134,1000054428,0002118245,Adsorbents & Desiccants Corp
143,U0415,1000058757,0002181161,ADVANCE TAPES INTERNATIONAL LTD
144,33967,1000058116,0002196599,Advanced Analog Inc
145,27515,1000059049,0002194822,ADVANCED ATOMIZATION TECHNOLOGIES L
146,09QT6,1000052938,0002100210,Advanced Composites Group
147,60642,1000057673,0002171228,Advanced Conversion Technology Inc.
148,94077,1000056872,0002173843,Advanced Hydraulics Inc.
149,23070,1000057538,0002171035,ADVANCED MEASUREMENT TECHNOLOGY
150,U1458,1000056955,0002170112,ADVANCED MICRO DEVICES (UK) LTD
151,34335,1000047306,0002030355,Advanced Micro Devices Inc.
152,04319,1000050554,0002067227,Advanced Products Comp.
153,4U751,1000048535,0002046074,Advanced Semiconductor Inc.
154,0VFW3,1000048493,0002045815,Advanced Simulation Technology Inc
155,03LC6,1000058166,0002175603,Advanced Specialty Gas Equipment
156,0R8N4,1000059248,0002194566,Advanced Technical Materials Inc.
157,4RN23,1000058519,0002190462,Advanced Thermal Solutions Inc
158,3ECH5,1000051705,0002088218,Advanced Thermoelectric
159,08RH8,1000057304,0002172065,"ADVANCETEC INDUSTRIES, INC."
160,SQ330,1000053539,0002123513,Advantech Co Ltd
161,S7198,1000057000,0002170209,Advantest Corporation
162,L0862,1000052844,0002098939,Adventure Lights Inc.
163,1GLTL,1000058875,0002197667,A-E Electronics S.A.
164,D1113,1000049800,0002058082,AEG Aktiengesellschaft Fachbereich
165,D0252,1000058278,0002176060,AEG POWER SOLUTION GMBH
166,F0299,1000056254,0002163419,AEG POWER SOLUTIONS
167,0AZS3,1000048467,0002045817,AEL Industries Inc
168,K6491,1000054998,0002135039,AERCO Ltd
169,S3837,1000006898,0002006511,Aero Consultants AG
170,01FX2,1000057837,0002167978,Aero Dynamix Inc.
171,0BWV6,1000049447,0002049209,Aero Electronics Inc
172,FADW3,1000050895,0002070782,Aero Maintenance Europe
173,081D9,1000048550,0002045819,Aero Mechanism Precision Inc
174,09119,1000050865,0002073003,Aero Mfg Corp
175,Z4E19,1000055255,0002125515,Aero Plastics & Structures
176,KA335,1000049979,0002057432,Aero Quality Sales
177,64665,1000049704,0002058403,"Aero Rubber Company, Inc"
178,A3492,1000057683,0002161305,Aero Sekur SpA
179,1DL90,1000054192,0002121013,Aero Specialties Inc
180,0T652,1000058728,0002180219,Aero Specialties Inc
181,54933,1000055019,0002130465,Aero Systems Engineering Inc.
182,0T790,1000055220,0002130467,Aero Turbine Inc.
183,OUVG2,1000049257,0002052182,AeroAntenna Technologies Inc.
184,98889,1000048928,0002048038,AeroControlex Group Inc
185,81833,1000055437,0002136239,AeroControlex Group Inc
186,C5566,1000051322,0002075309,Aerodata AG
187,1DRT7,1000053082,0002101599,Aerodyne Controls Inc
188,59976,1000051072,0002070842,Aero-Electric Connector Inc.
189,30974,1000053364,0002101154,Aerofit Inc.
190,88379,1000049118,0002047052,Aeroflex Inc.
191,K0433,1000052500,0002081363,Aeroflex International Limited
192,64537,1000051670,0002069387,Aeroflex Signal & Control Solutions
193,FB0R4,1000055043,0002130437,AEROFORM Composites
194,83445,1000058625,0002196546,Aerol LLC
195,6NDS0,1000058369,0002181353,AeroLEDS
196,U9327,1000056842,0002156630,AEROLUX LTD
197,8N273,1000052955,0002110449,Aero-Mach Labs
198,32664,1000054087,0002121367,Aerometals
199,A8170,1000053721,0002121379,Aeronautica Militare
200,AH850,1000055247,0002130692,Aeronautica Militare
201,07878,1000053053,0002102088,Aeronautical and Support Equipment
202,88044,1000046979,0002030329,Aeronautical Standards Group
203,1792A,1000062556,2173676,Aeronautics Ltd
204,98625,1000049388,0002052995,Aeroquip Corp
205,K1016,1000050617,0002061305,Aeroquip Ltd
206,F6275,1000050471,0002068470,Aéroquip Vickers (SA)
207,D9220,1000047107,0002029713,Aeroquip ZN der Aeroquip Vickers
208,B8132,1000053858,0002121016,Aero-Sense
209,98810,1000054122,0002121383,Aerosonic Corp
210,19623,1000048474,0002045820,Aerospace Avionics Inc
211,58918,1000054911,0002127394,"Aerospace Control Products, Inc."
212,0GCA0,1000056492,0002164101,Aerospace Filtration Systems
213,66164,1000056770,0002174018,Aerospace Lubricants Inc.
214,55418,1000058619,0002196552,Aerospace Manufacturing Inc
215,0VUJ2,1000053639,0002121281,Aerospace Products Int. Inc
216,34163,1000048473,0002045825,Aerospace Systems and Components
217,F8447,1000047906,0002039113,Aerospatiale Societe Nationale
218,D5207,1000053746,0002115031,Aerotech GmbH
219,AU51N,1000058288,0002179589,Aerotech Telub
220,K1479,1000049227,0002049888,Aerotech World Trade Ltd.
221,00656,1000051367,0002076253,Aerovox Inc
222,U4073,1000058403,0002175843,AF INTERNATIONAL A DIVISION
223,C0649,1000058146,0002190988,AFE-BAUTEILE FUER ELEKTRONIK GMBH
224,FA2M2,1000047067,0002023601,Afer
225,3E4W0,1000056559,0002163199,"AFL NETWORK SERVICES, INC."
226,F0110,1000048782,0002048457,AFNOR Association Française de
227,C4468,1000049710,0002061930,AFSR Aichach GmbH
228,S0008,1000017512,0002002005,"Agathon AG, Maschinenfabrik"
229,98500,1000056977,0002172569,AGC Acquisition LLC
230,02708,1000062661,2198846,AGE Logistics Corporation
231,B1112,1000055552,0002159618,AGFA GEVAERT NV
232,F0596,1000057139,0002176732,AGFA GEVAERT SA
233,52039,1000051325,0002075343,Agfa NDT Inc.
234,19019,1000023257,0002026636,Agie Charmilles SA
235,FAET1,1000058513,0002191881,Agilent Technologies France
236,2D895,1000053445,0002092485,Agilent Technologies Inc
237,1MY97,1000051143,0002070548,Agilent Technologies Inc.
238,AC644,1000057609,0002160956,AGILENT TECHNOLOGIES ITALIA SPA
239,1NX00,1000058650,0002175290,Agilent Technologies Labratory
240,U5288,1000056999,0002170454,Agilent Technologies UK Ltd
241,6DB46,1000057003,0002170690,AGILENT TECHNOLOGIES UNITED STATES
242,0YSC6,1000057940,0002161560,"AGILENT TECHNOLOGIES, INC."
243,08992,1000048331,0002040594,AGM Container Controls Inc.
244,F1701,1000058255,0002196568,Agrati Gie
245,S3172,1000032657,0002002007,AGRO AG
246,S8756,1000050737,0002073418,Ahlsell AB
247,C8244,1000049566,0002058994,AHWI Maschinenbau GmbH
248,K8267,1000050339,0002060496,Aim and Thurlby Thandar Instruments
249,D1597,1000047809,0002044785,AIM Infrarot-Module GmbH
250,0Y7E4,1000052366,0002092262,"AIM MRO, LLC"
251,A267N,1000054942,0002138675,Aimpoint AB
252,20284,1000048631,0002051169,AIMTRON SYSTEMS LLC
253,1499N,1000055030,0002125339,Air Ambulance Technology  GmbH
254,CH155,1000054969,0002130084,Air Cost Control
255,70167,1000047372,0002028995,Air Cruisers Company
256,07873,1000048745,0002051956,Air Force Department
257,97151,1000058667,0002196426,AIR FORCE LIFECYCLE MANAGEMENT CENT
258,66735,1000049061,0002049592,Air Force Medical Logistics Office
259,18894,1000047622,0002040336,Air Force Munitions Systems Div.
260,81352,1000053555,0002123722,Air Force-Navy Aeronautical
261,06725,1000047350,0002030318,Air Industries Corp.
262,4V885,1000049421,0002052988,Air Kontrol Inc
263,01413,1000055609,0002147212,Air Logistic Corporation
264,5ZCA2,1000055266,0002130061,"Air Power, Inc"
265,F0479,1000053905,0002121028,AIR PRECISION
266,0URH2,1000044516,0002045827,Airborne Inc
267,05QR4,1000056954,0002142786,Airborne Systems North America
268,7ADA9,1000058138,0002180146,Airbrasive Jet Technologies
269,D2714,1000052897,0002093995,Airbus Defence and
270,CK753,1000051391,0002069296,Airbus Defence and Space GmbH
271,D8518,1000051323,0002075307,Airbus Deutschland GmbH
272,F6198,1000053729,0002115263,Airbus DS Geo SA
273,F9073,1000055546,0002159928,AIRBUS DS SAS
274,F5442,1000047880,0002039034,Airbus Group
275,F0210,1000046351,0002016002,Airbus Helicopters
276,F8105,1000047111,0002023855,Airbus Helicopters
277,L0673,1000054995,0002134578,AIRBUS Helicopters Canada Limited
278,C0418,1000044480,0002078195,Airbus Helicopters De GmbH
279,3GSZ1,1000058130,0002184363,Airbus Helicopters Inc
280,FA849,1000048412,0002045830,Airbus Industrie
281,U1598,1000047582,0002037214,Airbus Operations Limited
282,FAPE3,1000053722,0002115034,Airbus SAS
283,DK371,1000050729,0002072163,Airbus Secure Land Communications G
284,C7430,1000044971,0002001839,Aircom Pneumatik GmbH
285,U5351,1000051324,0002075250,Aircontrol Technologies Ltd
286,U5379,1000053894,0002121463,Aircraft Braking Systems Europe Ltd
287,09959,1000047979,0002043816,Aircraft Instruments Co.
288,32970,1000051215,0002070680,Aircraft Parts Corp.
289,SH955,1000041181,0002009924,Aircraft Service Grenchen AG in
290,5M916,1000049894,0002060095,Aircraft Spruce And Speciality Co
291,1XCQ6,1000051697,0002069800,Aircraft Technologies Inc.
292,07058,1000054430,0002121569,Airex Rubber Products Corp
293,09078,1000056990,0002172347,Airlite Plastics Co.
294,97375,1000050076,0002064205,Air-Lock Inc
295,2A650,1000046308,0002015559,Airresearch Manufacturing Company
296,F2408,1000051465,0002069458,Airsec SA
297,65597,1000049673,0002063907,Airsys ATM Inc
298,C5088,1000046181,0002015561,Airtec GmbH
299,53912,1000049449,0002048677,Airtech International Inc
300,0T8F2,1000047359,0002029001,Airtek International
301,SAC17,1000041543,0002086389,AirWork & Heliseilerei GmbH (A&H)
302,08GK8,1000058772,0002181904,AJA Video Systems Inc.
303,SDTL6,1000049760,0002061881,Akahane Electronics Int. Corp.
304,CF269,1000058506,0002181963,AKKU SYS AKKUMULATOR- UND
305,91342,1000054450,0002118103,Akzo Nobel Aerospace Coatings
306,H1J03,1000046419,0002022658,Akzo Nobel Car Refinishes B.V.
307,C0643,1000046779,0002026275,Akzo Nobel Chemicals GmbH
308,98502,1000056912,0002152782,Akzo Nobel Coatings Inc.
309,U3803,1000056903,0002153121,Albacom Ltd
310,C8871,1000050679,0002072948,Albatross Projects GmbH
311,96266,1000059067,0002196792,Albion Industries Inc
312,F6180,1000058503,0002191464,ALCATEL-LUCENT INTERNATIONAL
313,A9204,1000057277,0002167841,ALCATEL-LUCENT ITALIA SPA
314,S9547,1000042883,0002025821,Alcatel-Lucent Schweiz AG
315,83324,1000051218,0002070673,Alcoa Fastening Systems & Rings
316,0HDW7,1000051735,0002087748,Alcoa Fastening Systems & Rings
317,66776,1000052073,0002086717,Alcoa Fastening Systems & Rings
318,F0224,1000047666,0002039920,Alcoa Fixations Simmonds SAS
319,29372,1000047080,0002030319,Alcoa Global Fasteners Inc.
320,2B785,1000054233,0002120929,Alcor Inc
321,A2142,1000050800,0002072383,Alenia Aermacchi S.p.A.
322,A0019,1000048410,0002045834,Alenia Aeronautica SPA
323,A0170,1000048747,0002047748,Alenia Aeronautica SPA
324,56469,1000050294,0002066925,Alexander Technologies
325,U0QP5,1000058317,0002181260,Alfa Aesar
326,62639,1000049046,0002050678,Alfa Kleen Chemical Co
327,A0001,1000056331,0002172568,Alfa Lancia SPA
328,71871,1000054281,0002116954,Alfa Laval Inc
329,D1029,1000049886,0002061836,Alfatec GmbH
330,D2735,1000053183,0002100704,Alfred Konrad Veith GmbH & Co KG
331,C5896,1000058188,0002191109,Alfred Schellenberg GmbH
332,L4108,1000058559,0002178813,ALGA MICROWAVE INC
333,56563,1000052075,0002086703,Align Aerospace LLC
334,F0554,1000048416,0002045835,Alkan R. & Cie SA
335,D0791,1000057877,0002185835,AL-KO Kober
336,KC5D0,1000054188,0002121031,ALLAERO LTD
337,06581,1000048934,0002048032,Allan Aircraft Supply Company
338,0CVK3,1000048472,0002045836,Allegro Microsystems Inc
339,31019,1000051778,0002078941,Allegro Microsystems Inc
340,KCNB2,1000051746,0002079971,Allen & Heath Ltd
341,82829,1000048471,0002045837,Allen Aircraft Products Inc
342,60795,1000059034,0002196690,Allen Datagraph Systems Inc
343,70276,1000050536,0002068033,Allen Mfg Co
344,38921,1000050227,0002065367,Allen-Vanguard Corporation
345,K3751,1000053093,0002092741,Allen-Vanguard Ltd.
346,53551,1000045688,0002022357,Allfast Fastening System Inc.
347,43EW3,1000053503,0002108312,Alliance Semiconductor Corp
348,06424,1000050609,0002060610,Alliant Defense Electronics Systems
349,02288,1000059193,0002194964,"ALLIED CONTROLS, INC."
350,29964,1000049147,0002047282,Allied Devices Corp.
351,62842,1000053459,0002108401,Allied Healthcare Products Inc
352,F0134,1000048925,0002052139,Allied Signal Aftermarket Europe
353,58039,1000049178,0002049985,Allied Tech-Tronics
354,0T156,1000056636,0002174266,"ALLIED TELESIS, INC"
355,U9564,1000059098,0002195963,Allied Telesyn (International) Ltd
356,63395,1000047904,0002044999,Alliedsignal Inc
357,55973,1000048336,0002045852,Alliedsignal Inc
358,4S503,1000048358,0002045854,Alliedsignal Inc
359,77068,1000049394,0002052592,Alliedsignal Inc
360,72599,1000049765,0002061934,Alliedsignal Inc
361,96774,1000044424,0002045668,Alliedsignal Inc.
362,D2034,1000046169,0002015566,Alligator Ventilfabrik GmbH
363,70318,1000047262,0002034248,Allmetal Screw Products Corp.
364,DN944,1000056959,0002172596,Allpax GmbH & Co. KG
365,C2231,1000053677,0002115024,allsafe GmbH & Co. KG
366,DN724,1000053859,0002122295,Alluris GmbH & Co. KG
367,389A5,1000058448,0002180678,ALPHA DELTA COMMUNICATIONS
368,A1134,1000054631,0002127350,Alpha Elettronica SRL
369,17540,1000049859,0002062413,Alpha Industries Inc
370,92194,1000048608,0002047537,Alpha Wire Corp.
371,C4613,1000050275,0002066091,Alpha-Getriebebau GmbH
372,4ZKW5,1000058830,0002197051,Alpine Electronics Inc
373,05614,1000050288,0002067242,Altec Lansing Corp
374,67183,1000048490,0002045796,Altera Corp.
375,D1251,1000050357,0002066250,Althoff Rudolf
376,C8612,1000056542,0002144673,Altmann GmbH
377,CA749,1000055779,0002158274,Altmann GmbH & Co. KG
378,A0216,1000056432,0002143023,Alto Vuoto Di Sarzi Sartori
379,71041,1000057270,0002176736,ALTRA INDUSTRIAL MOTION CORP
380,C6932,1000057011,0002176587,ALTROPOL KUNSTSTOFF GMBH
381,F2615,1000054620,0002128552,Altuglas International SAS
382,S0302,1000034650,0002002018,"Alu Menziken Extrusion AG, mit"
383,C5267,1000055702,0002147636,Alufinish GmbH + Co. KG
384,SJ154,1000031043,0002003373,ALUP Kompressoren AG
385,C9320,1000057545,0002167633,ALUTEC MUENCHEN GMBH
386,3080N,1000048308,0002040555,Alutech GmbH
387,C2004,1000047675,0002040328,Alutronic
388,N0146,1000048674,0002050482,Alvis Moelv AG
389,34623,1000046914,0002028091,AM General Corporation
390,64106,1000054299,0002116925,AM Machining Inc
391,A6916,1000055731,0002158470,AMA S.p.A.
392,C0404,1000023824,0002103489,Amann & Söhne GmbH & Co KG
393,HG184,1000054533,0002138016,Amatec Technische Veren B.V.
394,66EB1,1000054787,0002126830,"Amazon Web Services, Inc."
395,51GJ3,1000058774,0002178768,Amazon.com LLC
396,1TLH0,1000054982,0002139231,AMC Accurate Machine Company
397,FARL6,1000055061,0002129766,AMCC
398,02025,1000051001,0002072003,American Coolair Corp.
399,0D1T6,1000054477,0002119221,American Fiber and Finishing Inc
400,05476,1000047036,0002030358,American Fuel Cell and Coated
401,60483,1000059189,0002194859,AMERICAN MICROWAVE CORPORATION
402,80204,1000048374,0002045861,American National Standards
403,SD605,1000047950,0002044781,American Power Conversation Corp.
404,99800,1000049487,0002049180,American Precision Industries
405,31441,1000049543,0002052993,American Safety Flight Systems Inc
406,81072,1000059077,0002194950,AMERICAN SAWMILL MACHINERY CO
407,84411,1000048876,0002050383,American Shizuki Inc.
408,81346,1000048290,0002040804,American Society for Testing and
409,05047,1000053744,0002116413,American Society of Mech. Engin.
410,29990,1000048533,0002046077,American Technical Ceramics
411,31505,1000050238,0002059983,American Welding Society Inc
412,1YQR0,1000053164,0002094817,Ameri-King Corp.
413,0E6H7,1000063390,2199289,Ametek Advanced Industries Inc
414,97424,1000056986,0002170473,Ametek Aerospace & Defense
415,1RB83,1000048970,0002050231,Ametek Aerospace Products Inc.
416,K7776,1000050009,0002061576,AMETEK Airtechnology Group Ltd
417,0FRR4,1000054719,0002127856,Ametek Ameron LLC DBA Mass Systems
418,11710,1000055995,0002155242,Ametek Inc
419,99564,1000055745,0002155585,Ametek Inc. DBA Aerospace GST
420,61349,1000047908,0002044499,Ametek Incorporation
421,25965,1000057831,0002168472,Ametek Programmable Power
422,82877,1000048023,0002039077,Ametek Rotron
423,021P3,1000056619,0002162736,"Ametherm, Inc."
424,D3415,1000048078,0002037844,AMF Maier Andreas GmbH & Co.
425,0RKL5,1000054153,0002120642,Amglo Kemlite Laboratories Inc
426,63100,1000046684,0002030633,AMI Instruments Inc.
427,CC808,1000057241,0002171737,Ammerflon GmbH
428,F0187,1000049698,0002058268,AMP Groupe Bacou
429,A4036,1000056320,0002156823,Amper-Auto Srl
430,73445,1000049831,0002059258,Amperex Electronic Corp
431,0PN68,1000053225,0002094006,Ampex Data Systems Corporation
432,F0394,1000050846,0002071970,Amphenol Air LB
433,Z0125,1000058535,0002180339,AMPHENOL AUSTRALIA PTY LTD
434,03554,1000058373,0002184388,AMPHENOL CANADA CORP.
435,49367,1000049316,0002057305,Amphenol Corp. / Aerospace/Pyle
436,77820,1000047859,0002044568,Amphenol Corp. / Amphenol Aerospace
437,74868,1000047631,0002040081,Amphenol Corp. / Amphenol RF
438,02660,1000050447,0002067338,Amphenol Corp. / Spectra-Strip/ITD
439,3HBY4,1000050290,0002067211,Amphenol Corp. / Spectra-Strips
440,8AME4,1000058371,0002180188,AMPHENOL CORPORATION
441,FA1S5,1000049996,0002064654,Amphenol FCI Besancon SA
442,S7317,1000045766,0002022364,Amphenol GmbH
443,K1100,1000054120,0002114493,Amphenol Ltd
444,28986,1000047654,0002043960,Amphenol Nexus Technologies
445,14283,1000053055,0002108588,Amphenol Optimize MFG Co
446,58982,1000050794,0002071089,Amphenol PCD Inc.
447,R2495,1000058051,0002180478,Amphenol Procom
448,A3645,1000057083,0002177156,AMPHENOL SICEM ITALIA SPA
449,F6162,1000047944,0002039379,Amphenol Socapex SA
450,C7057,1000044489,0002064779,Amphenol-Air LB GmbH
451,D8311,1000050762,0002067511,Amphenol-Tuchel Electronics GmbH
452,51025,1000049764,0002062232,Amplifier Acquisition Corp
453,60979,1000051581,0002069366,Amplifonix Inc
454,0Y1W7,1000057332,0002172292,Amrel Technology INC
455,025K9,1000058788,0002191860,AMS Inc
456,35FB9,1000047357,0002029005,AMSAFE AVIATION
457,U5F09,1000046986,0002025826,amSAFE Bridport
458,U3474,1000048193,0002038889,AmSafe Limited
459,0446N,1000050690,0002073630,Amst Systemtechnik GmbH
460,S7066,1000030241,0002005653,Amstutz Produkte AG
461,1KXM7,1000058981,0002193500,"Amtron Technology, Inc."
462,0B2J2,1000050597,0002068186,AMX Inc
463,14010,1000050159,0002062236,Anadex Inc
464,51640,1000051676,0002069530,Analog Devices Inc
465,24355,1000049371,0002049281,Analog Devices Inc.
466,06665,1000050315,0002065550,Analog Devices Inc.
467,FA8X7,1000051572,0002079239,Analog Way
468,DG672,1000055894,0002155541,analyticon instruments gmbh
469,H2002,1000050738,0002068521,Anamet Europe B.V.
470,31597,1000046936,0002026365,"Anaren Microwave, Inc"
471,31272,1000052927,0002101361,Ancra International LLC
472,80495,1000050416,0002065790,Anderson Airmotive Products Co
473,3BPV9,1000059066,0002194818,"ANDERSON ELECTRONICS, LLC"
474,S3292,1000047853,0002038447,Andr Jacobsen Export AB
475,84147,1000049093,0002048290,Andrew Corp.
476,AR722,1000047369,0002035424,Angelantoni Industrie
477,A5465,1000058426,0002191311,Angelantoni Test Technologies Srl
478,0BCW9,1000053074,0002102326,Angelus Corp.
479,S3106,1000032466,0002002038,Angst & Pfister AG
480,F2525,1000059090,0002193241,Angst+Pfister SA
481,10630,1000058763,0002181909,Anillo Industries Inc.
482,F7946,1000054252,0002113378,Anjou Aeronautique
